0,0.25,7,1,0,0,0
0,0,0,1,0,0,0
-3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
---
-4.90059e-17,0.25,7,0.988564,0.147237,-0.00915647,0.0312714
0,0,0,1,0,0,0
-3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
---
8.63892e-16,0.25,7,0.971801,0.135011,-0.192428,0.018595
0,0,0,1,0,0,0
-3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
---
7.76289e-16,0.25,7,0.880275,0.359748,-0.296454,0.0883882
0,0,0,1,0,0,0
-3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
3,1,0,1,0,0,0
0.5,0.75,0,1,0,0,0
0.7,0,0,1,0,0,0
-0.5,0.75,0,1,0,0,0
-0.7,0,0,1,0,0,0
0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
-0.25,-0.75,0,1,0,0,0
0,-0.7,0,1,0,0,0
0,0.75,0,1,0,0,0
---
